"name","description","category","subCategory","stockQty","isOrganic","isFeatured","isAvailable","tags","images","v1_size","v1_unit","v1_mrp","v1_price","v1_sku","v2_size","v2_unit","v2_mrp","v2_price","v2_sku","v3_size","v3_unit","v3_mrp","v3_price","v3_sku"
"Black Forest Pastry Slice","Classic Black Forest cake slice with chocolate sponge fresh cream and cherry — a timeless dessert","Cakes & Pastries","","30","false","true","true","blackforest,pastry,chocolate,cream","https://images.unsplash.com/photo-1464349095431-e9a21285b5f3?w=600&q=80","1 pc","pcs","99","84","BFPS-1PC","4 pcs","pcs","369","319","BFPS-4PCS","","","","",""
"Dark Chocolate Brownie","Fudgy intense dark chocolate brownie with a crackly crust and gooey centre — a chocoholic's dream","Cakes & Pastries","","40","false","false","true","brownie,chocolate,fudgy,dark","https://images.unsplash.com/photo-1464349095431-e9a21285b5f3?w=600&q=80","2 pcs","pcs","119","99","BROW-2PCS","4 pcs","pcs","219","189","BROW-4PCS","","","","",""
"Blueberry Cheesecake Slice","Rich New York-style baked cheesecake with a buttery graham crust and fresh blueberry compote","Cakes & Pastries","","25","false","true","true","cheesecake,blueberry,baked,premium","https://images.unsplash.com/photo-1464349095431-e9a21285b5f3?w=600&q=80","1 pc","pcs","149","129","BCCS-1PC","","","","","","","","","",""
"Glazed Donuts Assorted","Soft fluffy yeast donuts with assorted glazes — chocolate strawberry and classic sugar","Cakes & Pastries","","30","false","false","true","donut,glazed,assorted,fluffy","https://images.unsplash.com/photo-1551024601-bec78aea704b?w=600&q=80","4 pcs","pcs","199","169","DNUT-4PCS","","","","","","","","","",""
"Cinnamon Danish Pastry","Flaky buttery Danish pastry rolled with cinnamon sugar and raisins — freshly baked every morning","Cakes & Pastries","","35","false","false","true","danish,cinnamon,pastry,flaky","https://images.unsplash.com/photo-1549007953-09f9fa48da86?w=600&q=80","2 pcs","pcs","129","109","CDAN-2PCS","4 pcs","pcs","239","199","CDAN-4PCS","","","","",""
"Tres Leches Cake Slice","Moist sponge cake soaked in three kinds of milk topped with whipped cream — a Latin classic","Cakes & Pastries","","20","false","true","true","treleches,cake,cream,indulgent","https://images.unsplash.com/photo-1464349095431-e9a21285b5f3?w=600&q=80","1 pc","pcs","129","109","TRES-1PC","","","","","","","","","",""
"Butter Shortbread Cookies","Melt-in-the-mouth butter shortbread with a rich crumbly texture and vanilla finish","Biscuits & Cookies","","80","false","false","true","cookie,butter,shortbread,crumbly","https://images.unsplash.com/photo-1499636136210-6f4ee915583e?w=600&q=80","150g","g","99","84","BSCK-150G","300g","g","189","159","BSCK-300G","","","","",""
"Chocolate Chip Cookies","Classic American-style cookies generously loaded with semi-sweet chocolate chips","Biscuits & Cookies","","80","false","true","true","cookie,chocolate,chip,classic","https://images.unsplash.com/photo-1499636136210-6f4ee915583e?w=600&q=80","150g","g","109","89","CCCK-150G","300g","g","199","169","CCCK-300G","","","","",""
"Double Chocolate Cookies","Intensely chocolatey cookies with cocoa dough and dark chocolate chunks — for serious chocoholics","Biscuits & Cookies","","60","false","false","true","cookie,doublechocolate,cocoa,dark","https://images.unsplash.com/photo-1499636136210-6f4ee915583e?w=600&q=80","150g","g","119","99","DCCK-150G","300g","g","219","189","DCCK-300G","","","","",""
"Oatmeal Raisin Cookies","Chewy wholesome oatmeal cookies with plump raisins — a healthier indulgence with natural sweetness","Biscuits & Cookies","","60","false","false","true","cookie,oatmeal,raisin,chewy","https://images.unsplash.com/photo-1499636136210-6f4ee915583e?w=600&q=80","150g","g","99","84","OATK-150G","300g","g","189","159","OATK-300G","","","","",""
"Marie Gold Tea Biscuits","Light crisp classic Marie biscuits — the perfect dunking companion for your morning chai","Biscuits & Cookies","","100","false","false","true","marie,biscuit,tea,crisp","https://images.unsplash.com/photo-1558961363-fa8fdf82db35?w=600&q=80","200g","g","35","29","MARI-200G","400g","g","64","54","MARI-400G","","","","",""
"Digestive Oat Biscuits","Wholesome whole-wheat digestive biscuits with oats and bran — a nutritious tea-time snack","Biscuits & Cookies","","80","false","false","true","digestive,oat,biscuit,fibre","https://images.unsplash.com/photo-1558961363-fa8fdf82db35?w=600&q=80","200g","g","59","49","DIGE-200G","400g","g","109","89","DIGE-400G","","","","",""
"Cream Sandwich Biscuits","Crunchy cocoa biscuits with a thick vanilla cream filling — a nostalgic teatime favourite","Biscuits & Cookies","","80","false","false","true","cream,sandwich,biscuit,cocoa","https://images.unsplash.com/photo-1558961363-fa8fdf82db35?w=600&q=80","100g","g","29","24","CRSB-100G","200g","g","49","39","CRSB-200G","400g","g","89","74","CRSB-400G"
"Almond Cookies Badam","Crumbly almond-studded cookies with a buttery base and delicate nuttiness — a premium treat","Biscuits & Cookies","","50","false","true","true","cookie,almond,badam,premium","https://images.unsplash.com/photo-1499636136210-6f4ee915583e?w=600&q=80","150g","g","149","129","ALCK-150G","300g","g","279","239","ALCK-300G","","","","",""
"Fresh Orange Juice Cold Pressed","Cold-pressed freshly squeezed orange juice — 100% pure with no added sugar or preservatives","Juices","","60","false","true","true","orange,juice,coldpressed,vitaminc","https://images.unsplash.com/photo-1600271886742-f049cd451bba?w=600&q=80","250ml","ml","79","69","COJ-250ML","500ml","ml","149","129","COJ-500ML","","","","",""
"Pomegranate Juice Pure","100% cold-pressed pomegranate juice packed with antioxidants — supports heart and immunity","Juices","","50","false","true","true","pomegranate,juice,antioxidant,heart","https://images.unsplash.com/photo-1600271886742-f049cd451bba?w=600&q=80","250ml","ml","99","84","PMJ-250ML","500ml","ml","189","159","PMJ-500ML","","","","",""
"Mixed Fruit Punch","Refreshing blend of apple mango and orange with no artificial colours — great for children","Juices","","70","false","false","true","juice,mixed,fruit,punch","https://images.unsplash.com/photo-1600271886742-f049cd451bba?w=600&q=80","200ml","ml","49","39","MFJ-200ML","1L","L","199","169","MFJ-1L","","","","",""
"Raw Mango Panna Drink","Traditional summer drink made from raw mango pulp with roasted cumin and black salt","Juices","","50","false","false","true","panna,rawmango,summer,traditional","https://images.unsplash.com/photo-1600271886742-f049cd451bba?w=600&q=80","250ml","ml","59","49","PANN-250ML","500ml","ml","109","89","PANN-500ML","","","","",""
"Sugarcane Juice Fresh","Fresh pressed sugarcane juice with a hint of ginger and lime — nature's original energy drink","Juices","","40","false","false","true","sugarcane,juice,fresh,energy","https://images.unsplash.com/photo-1600271886742-f049cd451bba?w=600&q=80","250ml","ml","49","39","SCJC-250ML","500ml","ml","89","69","SCJC-500ML","","","","",""
"Kokum Sherbet Drink","Traditional Konkan kokum sherbet with a distinctive tart flavour — aids digestion and cools the body","Juices","","40","false","false","true","kokum,sherbet,konkan,digestive","https://images.unsplash.com/photo-1600271886742-f049cd451bba?w=600&q=80","200ml","ml","59","49","KOKM-200ML","500ml","ml","129","99","KOKM-500ML","","","","",""
"Apple Juice Cloudy","Freshly pressed cloudy apple juice with natural sediment intact — no concentrates no added sugar","Juices","","60","false","false","true","apple,juice,cloudy,fresh","https://images.unsplash.com/photo-1600271886742-f049cd451bba?w=600&q=80","250ml","ml","79","64","APJ-250ML","1L","L","279","239","APJ-1L","","","","",""
"Carrot Ginger Juice","Cold-pressed carrot juice blended with fresh ginger — a detoxifying immunity-boosting drink","Juices","","40","false","true","true","carrot,ginger,juice,detox","https://images.unsplash.com/photo-1600271886742-f049cd451bba?w=600&q=80","250ml","ml","89","74","CGJ-250ML","500ml","ml","169","139","CGJ-500ML","","","","",""
"Aloe Vera Juice","Pure aloe vera juice extracted from freshly harvested inner leaf gel — soothing and detoxifying","Juices","","50","false","false","true","aloevera,juice,detox,soothing","https://images.unsplash.com/photo-1600271886742-f049cd451bba?w=600&q=80","500ml","ml","149","129","AVJ-500ML","1L","L","279","239","AVJ-1L","","","","",""
"Watermelon Mint Cooler","Chilled watermelon juice blended with fresh mint and a hint of lime — the ultimate summer quencher","Juices","","40","false","true","true","watermelon,mint,cooler,summer","https://images.unsplash.com/photo-1638176066959-d16b743e2c4a?w=600&q=80","250ml","ml","69","59","WMC-250ML","500ml","ml","129","109","WMC-500ML","","","","",""
"Mango Slice Drink","Thick mango drink made with real Alphonso pulp — India's favourite summer thanda","Cold Drinks","","100","false","true","true","mango,slice,alphonso,drink","https://images.unsplash.com/photo-1581006852262-e4307cf6283a?w=600&q=80","250ml","ml","25","20","SLCE-250ML","600ml","ml","45","39","SLCE-600ML","1.25L","L","79","64","SLCE-1.25L"
"Limca Lemon Fizzy","Classic zesty lemon-lime carbonated drink with a clean crisp refreshing taste since 1971","Cold Drinks","","100","false","false","true","limca,lemon,fizzy,carbonated","https://images.unsplash.com/photo-1581006852262-e4307cf6283a?w=600&q=80","250ml","ml","20","17","LIMC-250ML","600ml","ml","40","34","LIMC-600ML","","","","",""
"Thums Up Cola Strong","Bold strong Indian cola with a signature assertive taste — the real cola experience since 1977","Cold Drinks","","100","false","false","true","thumsup,cola,bold,strong","https://images.unsplash.com/photo-1581006852262-e4307cf6283a?w=600&q=80","250ml","ml","20","17","TUPC-250ML","600ml","ml","40","34","TUPC-600ML","2L","L","89","74","TUPC-2L"
"Sprite Clear Soda","Crisp clean lemon-lime soda with zero caffeine — light refreshing and perfect with food","Cold Drinks","","100","false","false","true","sprite,lemon,soda,clear","https://images.unsplash.com/photo-1581006852262-e4307cf6283a?w=600&q=80","250ml","ml","20","17","SPRT-250ML","600ml","ml","40","34","SPRT-600ML","","","","",""
"Maaza Mango Drink","India's premium mango drink made with Alphonso mangoes — thick real and absolutely delicious","Cold Drinks","","100","false","false","true","maaza,mango,drink,thick","https://images.unsplash.com/photo-1581006852262-e4307cf6283a?w=600&q=80","250ml","ml","25","20","MAAZ-250ML","600ml","ml","45","38","MAAZ-600ML","","","","",""
"Appy Fizz Apple Soda","Sparkling apple drink with a refreshing fizzy twist — sophisticated non-alcoholic alternative","Cold Drinks","","80","false","false","true","apple,fizz,appy,sparkling","https://images.unsplash.com/photo-1581006852262-e4307cf6283a?w=600&q=80","250ml","ml","30","24","APFZ-250ML","600ml","ml","55","44","APFZ-600ML","","","","",""
"Mountain Dew Citrus","Intense citrus blast carbonated drink with a neon-green burst of extreme refreshment","Cold Drinks","","80","false","false","true","mountaindew,citrus,carbonated,extreme","https://images.unsplash.com/photo-1581006852262-e4307cf6283a?w=600&q=80","250ml","ml","20","17","MDW-250ML","600ml","ml","40","34","MDW-600ML","","","","",""
"Mirinda Orange Fizzy","Vibrant orange-flavoured fizzy drink with a sweet tangy taste — a fun fruity refreshment","Cold Drinks","","80","false","false","true","mirinda,orange,fizzy,fruity","https://images.unsplash.com/photo-1581006852262-e4307cf6283a?w=600&q=80","250ml","ml","20","17","MIRD-250ML","600ml","ml","40","34","MIRD-600ML","","","","",""
"Paper Boat Aam Panna","Traditional Indian raw mango drink with roasted cumin black salt and mint — a nostalgia sip","Cold Drinks","","60","false","true","true","aampanna,mango,traditional,paperboat","https://images.unsplash.com/photo-1581006852262-e4307cf6283a?w=600&q=80","200ml","ml","35","29","PBAP-200ML","","","","","","","","","",""
"Jaljeera Masala Drink","Tangy spiced jaljeera drink with cumin black salt and dried mango — an Indian digestif classic","Cold Drinks","","60","false","false","true","jaljeera,masala,spiced,digestive","https://images.unsplash.com/photo-1581006852262-e4307cf6283a?w=600&q=80","200ml","ml","35","29","JJRA-200ML","500ml","ml","79","64","JJRA-500ML","","","","",""
"Darjeeling First Flush Tea","Premium first-flush Darjeeling loose leaf tea with a delicate floral muscatel character","Tea & Coffee","","40","false","true","true","darjeeling,firstflush,premium,floral","https://images.unsplash.com/photo-1544787219-7f47ccb76574?w=600&q=80","100g","g","299","269","DRJ-100G","250g","g","699","629","DRJ-250G","","","","",""
"Assam CTC Breakfast Tea","Strong malty Assam CTC tea that brews into a rich dark cup perfect for masala chai and milk tea","Tea & Coffee","","80","false","false","true","assam,ctc,breakfast,malty","https://images.unsplash.com/photo-1544787219-7f47ccb76574?w=600&q=80","250g","g","119","99","ASM-250G","500g","g","219","189","ASM-500G","1kg","kg","399","339","ASM-1KG"
"Masala Chai Spice Blend","Aromatic whole-leaf tea with hand-ground spices — cardamom ginger cinnamon clove and black pepper","Tea & Coffee","","80","false","true","true","masalachai,spiced,aromatic,blend","https://images.unsplash.com/photo-1544787219-7f47ccb76574?w=600&q=80","100g","g","99","84","MCHB-100G","250g","g","229","199","MCHB-250G","500g","g","419","369","MCHB-500G"
"Organic Green Tea","Delicate hand-picked organic green tea leaves steamed to preserve antioxidants and natural flavour","Tea & Coffee","","60","true","false","true","greentea,organic,antioxidant,light","https://images.unsplash.com/photo-1544787219-7f47ccb76574?w=600&q=80","100g","g","149","129","OGT-100G","250g","g","339","289","OGT-250G","","","","",""
"Chamomile Herbal Tea","Soothing caffeine-free chamomile flower herbal tea — perfect for relaxation and a good night sleep","Tea & Coffee","","50","false","false","true","chamomile,herbal,caffeinefree,sleep","https://images.unsplash.com/photo-1544787219-7f47ccb76574?w=600&q=80","20 bags","pcs","149","129","CHAM-20BG","40 bags","pcs","279","239","CHAM-40BG","","","","",""
"South Indian Filter Coffee Blend","Classic South Indian filter coffee blend — 80% Arabica 20% chicory for a bold creamy brew","Tea & Coffee","","60","false","true","true","filtercoffee,southindian,chicory,bold","https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=600&q=80","250g","g","199","179","SIFC-250G","500g","g","369","329","SIFC-500G","","","","",""
"Dark Roast Arabica Beans","Single-origin dark roast Arabica whole beans with bold smoky and chocolatey notes","Tea & Coffee","","50","false","true","true","coffee,arabica,darkroast,singleorigin","https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=600&q=80","250g","g","349","299","DRAB-250G","500g","g","649","579","DRAB-500G","","","","",""
"Instant Coffee Premium","Rich freeze-dried instant coffee granules with the aroma and taste close to freshly brewed coffee","Tea & Coffee","","80","false","false","true","coffee,instant,premium,freezedried","https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=600&q=80","50g","g","149","129","INST-50G","100g","g","279","239","INST-100G","200g","g","499","429","INST-200G"
"Cold Brew Coffee Concentrate","Smooth low-acid cold brew coffee concentrate — just mix with water or milk for an instant cold coffee","Tea & Coffee","","40","false","true","true","coldbrew,coffee,concentrate,smooth","https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=600&q=80","250ml","ml","199","169","CBRW-250ML","500ml","ml","369","319","CBRW-500ML","","","","",""
"Tulsi Ginger Wellness Tea","Immune-boosting herbal blend of sacred tulsi and warming ginger — caffeine-free and therapeutic","Tea & Coffee","","60","false","false","true","tulsi,ginger,wellness,herbal","https://images.unsplash.com/photo-1544787219-7f47ccb76574?w=600&q=80","20 bags","pcs","129","109","TGWT-20BG","40 bags","pcs","239","199","TGWT-40BG","","","","",""
"Himalayan Natural Mineral Water","Natural mineral water from Himalayan springs with balanced minerals and pristine purity","Water & Soda","","200","false","false","true","water,himalayan,mineral,pure","https://images.unsplash.com/photo-1548345680-f5475ea5df84?w=600&q=80","500ml","ml","20","15","HMW-500ML","1L","L","35","29","HMW-1L","5L","L","99","84","HMW-5L"
"Sparkling Water Bubly","Lightly carbonated sparkling water with fine persistent bubbles — zero sugar zero calories","Water & Soda","","100","false","false","true","sparkling,water,bubbly,carbonated","https://images.unsplash.com/photo-1548345680-f5475ea5df84?w=600&q=80","500ml","ml","35","29","SPRK-500ML","1L","L","60","49","SPRK-1L","","","","",""
"Tonic Water Classic","Quinine-infused tonic water with a pleasantly bitter finish — perfect mixer for cocktails and mocktails","Water & Soda","","60","false","false","true","tonic,water,quinine,mixer","https://images.unsplash.com/photo-1548345680-f5475ea5df84?w=600&q=80","250ml","ml","45","39","TONC-250ML","4 pcs","pcs","169","149","TONC-4PCS","","","","",""
"Coconut Water Packaged","100% natural tender coconut water with natural electrolytes — isotonic and ultra-hydrating","Water & Soda","","80","false","true","true","coconutwater,natural,electrolyte,hydrating","https://images.unsplash.com/photo-1548345680-f5475ea5df84?w=600&q=80","200ml","ml","49","39","COCT-200ML","500ml","ml","99","84","COCT-500ML","","","","",""
"Soda Water Plain Fizzy","Plain carbonated soda water with no additives — the classic mixer and a great digestif","Water & Soda","","60","false","false","true","soda,water,plain,carbonated","https://images.unsplash.com/photo-1548345680-f5475ea5df84?w=600&q=80","300ml","ml","25","20","SWTR-300ML","750ml","ml","49","39","SWTR-750ML","","","","",""
"Classic Salted Potato Chips","Thinly sliced crispy potato chips with light sea salt — the perfect anytime snack","Chips & Namkeen","","120","false","false","true","chips,potato,salted,crispy","https://images.unsplash.com/photo-1566478989037-eec170784d0b?w=600&q=80","50g","g","20","17","CLSP-50G","100g","g","35","29","CLSP-100G","200g","g","60","49","CLSP-200G"
"Aloo Bhujia Classic Namkeen","Crunchy Bikaner-style aloo bhujia sev — a timeless Indian namkeen with aromatic spices","Chips & Namkeen","","100","false","false","true","bhujia,namkeen,bikaner,classic","https://images.unsplash.com/photo-1566478989037-eec170784d0b?w=600&q=80","200g","g","79","69","ABBJ-200G","400g","g","149","129","ABBJ-400G","","","","",""
"Peri Peri Masala Chips","Fiery peri peri flavoured chips with paprika herbs and garlic — bold zingy and addictive","Chips & Namkeen","","80","false","false","true","chips,perip-eri,masala,spicy","https://images.unsplash.com/photo-1566478989037-eec170784d0b?w=600&q=80","50g","g","25","20","PPMC-50G","100g","g","45","39","PPMC-100G","","","","",""
"Khatta Meetha Farsan Mix","Tangy sweet crunchy Gujarati farsan mix — sev boondi dry fruits and spices in perfect harmony","Chips & Namkeen","","80","false","false","true","farsan,khattameetha,gujarati,mix","https://images.unsplash.com/photo-1566478989037-eec170784d0b?w=600&q=80","200g","g","79","64","KMFR-200G","400g","g","149","119","KMFR-400G","","","","",""
"Roasted Salted Peanuts","Crispy oven-roasted peanuts with sea salt coating — high protein satisfying snack","Chips & Namkeen","","120","false","false","true","peanut,roasted,salted,protein","https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=600&q=80","200g","g","59","49","RSPT-200G","500g","g","129","109","RSPT-500G","","","","",""
"Chana Dal Roasted","Golden roasted chana dal with a crunchy bite and savoury seasoning — protein-packed Indian snack","Chips & Namkeen","","100","false","false","true","chanadal,roasted,protein,crunchy","https://images.unsplash.com/photo-1566478989037-eec170784d0b?w=600&q=80","200g","g","69","59","CHND-200G","400g","g","129","109","CHND-400G","","","","",""
"Banana Chips Kerala Style","Crispy Kerala-style banana chips fried in coconut oil with a light salt and turmeric seasoning","Chips & Namkeen","","80","false","false","true","banana,chips,kerala,coconutoil","https://images.unsplash.com/photo-1566478989037-eec170784d0b?w=600&q=80","150g","g","59","49","BCHP-150G","300g","g","109","89","BCHP-300G","","","","",""
"Popcorn Butter Caramel","Light fluffy popcorn with a perfect butter-caramel glaze — the classic movie snack","Chips & Namkeen","","80","false","false","true","popcorn,butter,caramel,movie","https://images.unsplash.com/photo-1585325701956-60dd9c8553bc?w=600&q=80","100g","g","79","64","BCRN-100G","200g","g","149","119","BCRN-200G","","","","",""
"Methi Mathri Flaky","Flaky deep-fried mathri biscuits flavoured with kasuri methi — a North Indian festive favourite","Chips & Namkeen","","60","false","false","true","mathri,methi,flaky,northindian","https://images.unsplash.com/photo-1566478989037-eec170784d0b?w=600&q=80","200g","g","89","74","MTHM-200G","400g","g","169","139","MTHM-400G","","","","",""
"Sev Mamra Mix Gujarat","Crunchy Gujarati sev mamra mixture with puffed rice sev and peanuts — light and addictive","Chips & Namkeen","","80","false","false","true","sev,mamra,gujarati,mixture","https://images.unsplash.com/photo-1566478989037-eec170784d0b?w=600&q=80","200g","g","69","59","SMGJ-200G","400g","g","129","109","SMGJ-400G","","","","",""
"Baked Multigrain Chips","Lightly baked multigrain chips with oats quinoa and seeds — guilt-free crunchy snacking","Chips & Namkeen","","60","false","true","true","chips,multigrain,baked,healthy","https://images.unsplash.com/photo-1566478989037-eec170784d0b?w=600&q=80","60g","g","49","39","BMGC-60G","120g","g","89","74","BMGC-120G","","","","",""
"Spicy Mixture Bombay","Classic Bombay mixture with fried noodles boondi and peanuts tossed in tangy spice blend","Chips & Namkeen","","80","false","false","true","mixture,bombay,spicy,fried","https://images.unsplash.com/photo-1566478989037-eec170784d0b?w=600&q=80","200g","g","79","64","BMBX-200G","400g","g","149","119","BMBX-400G","","","","",""
"Masala Peanuts Spicy","Crunchy gram flour-coated peanuts with Indian spices — a satisfying high-protein snack","Chips & Namkeen","","100","false","false","true","peanut,masala,coated,spicy","https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=600&q=80","200g","g","69","59","MPNT-200G","400g","g","129","109","MPNT-400G","","","","",""
"Rice Crackers Japanese Style","Light airy Japanese-style rice crackers with soy glaze — crispy and surprisingly addictive","Chips & Namkeen","","50","false","false","true","rice,crackers,japanese,light","https://images.unsplash.com/photo-1566478989037-eec170784d0b?w=600&q=80","100g","g","99","84","RCRK-100G","200g","g","189","159","RCRK-200G","","","","",""
"Trail Mix Nuts and Berries","Energy-boosting trail mix with almonds cashews walnuts cranberries and dark chocolate chips","Chips & Namkeen","","60","false","true","true","trailmix,nuts,berries,energy","https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=600&q=80","100g","g","149","129","TRMX-100G","250g","g","339","289","TRMX-250G","","","","",""
"Masala Noodles Classic","Spicy masala instant noodles ready in 2 minutes — India's most loved midnight snack","Instant Noodles","","150","false","false","true","noodles,masala,instant,spicy","https://images.unsplash.com/photo-1569718212931-9b5f5fb4c19a?w=600&q=80","70g","g","15","12","MASN-70G","4 pcs","pcs","55","44","MASN-4PCS","","","","",""
"Chicken Noodles Savory","Rich chicken-flavoured instant noodles with savoury broth seasoning and springy noodle strands","Instant Noodles","","100","false","false","true","noodles,chicken,savory,instant","https://images.unsplash.com/photo-1569718212931-9b5f5fb4c19a?w=600&q=80","70g","g","15","12","CHKN-70G","4 pcs","pcs","55","44","CHKN-4PCS","","","","",""
"Atta Wheat Noodles Healthy","Instant noodles made from whole wheat atta — lower in refined flour and higher in fibre","Instant Noodles","","80","false","false","true","noodles,atta,wholewheat,healthy","https://images.unsplash.com/photo-1569718212931-9b5f5fb4c19a?w=600&q=80","70g","g","18","15","ATTN-70G","4 pcs","pcs","64","54","ATTN-4PCS","","","","",""
"Rice Vermicelli Thin","Delicate thin rice vermicelli noodles gluten-free and quick cooking — great for soups stir fries","Instant Noodles","","60","false","false","true","vermicelli,rice,thin,glutenfree","https://images.unsplash.com/photo-1569718212931-9b5f5fb4c19a?w=600&q=80","200g","g","59","49","VERM-200G","400g","g","109","89","VERM-400G","","","","",""
"Cup Noodles Prawn","Convenient hot prawn-flavoured cup noodles — just add boiling water for a satisfying meal in minutes","Instant Noodles","","80","false","false","true","cup,noodles,prawn,convenient","https://images.unsplash.com/photo-1569718212931-9b5f5fb4c19a?w=600&q=80","75g","g","49","39","CUPN-75G","","","","","","","","","",""
"Hakka Noodles Pan-Fry","Medium-thick Hakka noodles perfect for Chinese-style pan frying with vegetables and sauces","Instant Noodles","","70","false","false","true","hakka,noodles,chinese,stirfry","https://images.unsplash.com/photo-1569718212931-9b5f5fb4c19a?w=600&q=80","200g","g","49","39","HAKK-200G","400g","g","89","74","HAKK-400G","","","","",""
"Soba Buckwheat Noodles","Japanese-style soba noodles made from buckwheat flour — nutty earthy and gluten-reduced","Instant Noodles","","40","false","false","true","soba,buckwheat,japanese,nutty","https://images.unsplash.com/photo-1569718212931-9b5f5fb4c19a?w=600&q=80","200g","g","149","129","SOBA-200G","","","","","","","","","",""
"Maggi Oats Masala Noodles","Oats-enriched Maggi-style noodles with vegetable masala — a healthier twist on the classic favourite","Instant Noodles","","80","false","false","true","noodles,oats,masala,healthy","https://images.unsplash.com/photo-1569718212931-9b5f5fb4c19a?w=600&q=80","65g","g","20","16","OATN-65G","4 pcs","pcs","74","59","OATN-4PCS","","","","",""
"Dal Makhani Restaurant Style","Rich slow-cooked black lentil dal makhani with butter cream — restaurant quality at home","Ready to Eat","","60","false","true","true","dal,makhani,punjabi,rich","https://images.unsplash.com/photo-1565557623262-b51c2513a641?w=600&q=80","300g","g","129","109","DALM-300G","","","","","","","","","",""
"Palak Paneer Ready","Creamy spinach gravy with soft paneer cubes — a Punjabi classic ready to heat and serve","Ready to Eat","","50","false","true","true","palak,paneer,spinach,punjabi","https://images.unsplash.com/photo-1565557623262-b51c2513a641?w=600&q=80","300g","g","139","119","PPNR-300G","","","","","","","","","",""
"Chole Masala Spiced","Hearty Punjabi chickpeas cooked in bold tangy tomato masala — perfect with bhature or rice","Ready to Eat","","60","false","false","true","chole,chickpea,masala,punjabi","https://images.unsplash.com/photo-1565557623262-b51c2513a641?w=600&q=80","300g","g","119","99","CHOL-300G","","","","","","","","","",""
"Rajma Chawal Pack","Wholesome kidney bean rajma in rich tomato gravy served with steamed basmati rice","Ready to Eat","","50","false","false","true","rajma,chawal,kidney,bean","https://images.unsplash.com/photo-1565557623262-b51c2513a641?w=600&q=80","400g","g","149","129","RJMC-400G","","","","","","","","","",""
"Vegetable Biryani Ready","Fragrant long-grain basmati biryani with seasonal vegetables saffron and whole spices","Ready to Eat","","50","false","true","true","biryani,vegetable,basmati,saffron","https://images.unsplash.com/photo-1563379091339-03246963d96c?w=600&q=80","350g","g","169","149","VBRN-350G","","","","","","","","","",""
"Chicken Biryani Hyderabadi","Authentic dum-style Hyderabadi chicken biryani with tender marinated chicken and fragrant rice","Ready to Eat","","40","false","true","true","biryani,chicken,hyderabadi,dum","https://images.unsplash.com/photo-1563379091339-03246963d96c?w=600&q=80","400g","g","199","169","CBRN-400G","","","","","","","","","",""
"Poha Breakfast Mix","Ready-to-cook poha mix with flattened rice roasted peanuts dried coconut and curry leaves","Ready to Eat","","80","false","false","true","poha,breakfast,readytocook,quick","https://images.unsplash.com/photo-1547592166-23ac45744acd?w=600&q=80","200g","g","59","49","POHA-200G","400g","g","109","89","POHA-400G","","","","",""
"Upma Semolina Mix","Flavoured semolina upma mix with vegetables cashews and spices — South Indian breakfast in 5 minutes","Ready to Eat","","80","false","false","true","upma,semolina,southindian,breakfast","https://images.unsplash.com/photo-1565557623262-b51c2513a641?w=600&q=80","200g","g","59","49","UPMA-200G","400g","g","109","89","UPMA-400G","","","","",""
"Idli Dosa Batter Ready","Freshly ground fermented idli and dosa batter — authentic taste without the overnight soaking","Ready to Eat","","60","false","true","true","idli,dosa,batter,fermented","https://images.unsplash.com/photo-1565557623262-b51c2513a641?w=600&q=80","1kg","kg","99","84","IDLI-1KG","2kg","kg","189","159","IDLI-2KG","","","","",""
"Moong Dal Khichdi","Wholesome moong dal khichdi with vegetables ghee and mild spices — comfort food in a pack","Ready to Eat","","60","false","false","true","khichdi,moong,comfort,wholesome","https://images.unsplash.com/photo-1565557623262-b51c2513a641?w=600&q=80","300g","g","119","99","KHCH-300G","","","","","","","","","",""
"Pav Bhaji Masala Kit","Complete pav bhaji kit with spiced vegetable bhaji mix and soft Mumbai pav rolls — party-ready","Ready to Eat","","40","false","true","true","pavbhaji,mumbai,masala,kit","https://images.unsplash.com/photo-1547592166-23ac45744acd?w=600&q=80","500g","g","199","169","PVBJ-500G","","","","","","","","","",""
"Shahi Paneer Gravy","Luxurious royal paneer gravy with cashew cream tomato and aromatic spices — heat and serve","Ready to Eat","","40","false","true","true","shahipaneer,gravy,royal,cream","https://images.unsplash.com/photo-1565557623262-b51c2513a641?w=600&q=80","300g","g","149","129","SHPN-300G","","","","","","","","","",""
"Sambar Ready South Indian","Authentic South Indian sambar with lentils tamarind and sambar powder — pairs with idli dosa rice","Ready to Eat","","60","false","false","true","sambar,southindian,lentil,tamarind","https://images.unsplash.com/photo-1565557623262-b51c2513a641?w=600&q=80","300g","g","99","84","SMBR-300G","","","","","","","","","",""
